"","User_ID","Cust_name","Product_ID","Gender","Age_Group","Age","State","Zone","Occupation","Product_Category","Orders","Amount","Marital_Status"
"1",1002903,"Sanskriti","P00125942","F","26-35",28,"Maharashtra","Western","Healthcare","Auto",1,23952,"Single"
"2",1000732,"Kartik","P00110942","F","26-35",35,"Andhra Pradesh","Southern","Govt","Auto",3,23934,"Married"
"3",1001990,"Bindu","P00118542","F","26-35",35,"Uttar Pradesh","Central","Automobile","Auto",3,23924,"Married"
"4",1001425,"Sudevi","P00237842","M","0-17",16,"Karnataka","Southern","Construction","Auto",2,23912,"Single"
"5",1000588,"Joni","P00057942","M","26-35",28,"Gujarat","Western","Food Processing","Auto",2,23877,"Married"
"6",1000588,"Joni","P00057942","M","26-35",28,"Himachal Pradesh","Northern","Food Processing","Auto",1,23877,"Married"
"7",1001132,"Balk","P00018042","F","18-25",25,"Uttar Pradesh","Central","Lawyer","Auto",4,23841,"Married"
"8",1003224,"Kushal","P00205642","M","26-35",35,"Uttar Pradesh","Central","Govt","Auto",2,23809,"Single"
"9",1003650,"Ginny","P00031142","F","26-35",26,"Andhra Pradesh","Southern","Media","Auto",4,23799.99,"Married"
"10",1003829,"Harshita","P00200842","M","26-35",34,"Delhi","Central","Banking","Auto",1,23770,"Single"
"11",1000214,"Kargatis","P00119142","F","18-25",20,"Andhra Pradesh","Southern","Retail","Auto",2,23752,"Single"
"12",1004035,"Elijah","P00080342","F","18-25",20,"Andhra Pradesh","Southern","IT Sector","Auto",2,23730,"Married"
"13",1001680,"Vasudev","P00324942","M","26-35",26,"Andhra Pradesh","Southern","Automobile","Auto",4,23718,"Married"
"14",1000813,"Lauren","P00289942","F","18-25",24,"Andhra Pradesh","Southern","Govt","Auto",2,23664,"Single"
"15",1001193,"Mick","P00004842","F","26-35",29,"Andhra Pradesh","Southern","Aviation","Auto",1,23619,"Single"
"16",1001883,"Praneet","P00029842","M","51-55",54,"Uttar Pradesh","Central","Hospitality","Auto",1,23568,"Married"
"17",1001883,"Praneet","P00029842","M","51-55",54,"Uttar Pradesh","Central","Hospitality","Auto",1,23568,"Married"
"18",1000113,"Ellis","P00180642","F","18-25",19,"Andhra Pradesh","Southern","Govt","Auto",4,23546,"Married"
"19",1000416,"Hrisheekesh","P00181842","F","46-50",46,"Uttar Pradesh","Central","Banking","Auto",2,23525,"Married"
"20",1005256,"Grant","P00101742","F","26-35",30,"Andhra Pradesh","Southern","IT Sector","Auto",1,23518,"Single"
"21",1001505,"Gilcrest","P00271842","F","51-55",53,"Uttar Pradesh","Central","Automobile","Auto",2,23515,"Single"
"22",1000900,"Skaria","P00317842","M","55+",83,"Karnataka","Southern","Automobile","Auto",3,23513,"Single"
"23",1005908,"Eric","P00282642","F","26-35",33,"Andhra Pradesh","Southern","IT Sector","Auto",3,23462,"Single"
"24",1001101,"Gibson","P00234742","F","36-45",40,"Uttar Pradesh","Central","Banking","Auto",3,23456,"Single"
"25",1004736,"Mahima","P00058042","F","18-25",25,"Andhra Pradesh","Southern","Banking","Auto",4,23451,"Married"
"26",1004037,"Etezadi","P00190542","M","51-55",54,"Andhra Pradesh","Southern","Govt","Hand & Power Tools",2,23434,"Married"
"27",1002340,"James","P00119642","F","36-45",39,"Andhra Pradesh","Southern","Aviation","Auto",3,23389,"Married"
"28",1005664,"Dean","P00111642","F","18-25",20,"Andhra Pradesh","Southern","Aviation","Auto",2,23365,"Single"
"29",1002523,"Aman","P00293342","F","26-35",32,"Andhra Pradesh","Southern","Food Processing","Auto",3,23326,"Married"
"30",1002503,"Mousam","P00220042","F","36-45",36,"Andhra Pradesh","Southern","Automobile","Auto",2,23314,"Single"
"31",1002638,"Damala","P00346242","F","26-35",35,"Maharashtra","Western","Media","Auto",2,23306,"Married"
"32",1004505,"Daniels","P00080042","F","51-55",55,"Andhra Pradesh","Southern","Healthcare","Auto",4,23302,"Married"
"33",1004957,"Inderpreet","P00111842","M","26-35",27,"Jharkhand","Eastern","Govt","Auto",1,23285,"Married"
"34",1005649,"Sweta","P00238542","M","18-25",20,"Delhi","Central","Media","Auto",1,23281,"Married"
